,feature,importance_gain,importance_split,trn_score,run
62,loans_long_time,111.28881483525038,74,0.9465721717978105,47
63,loans_credit_limit,115.56512212753296,73,0.9465721717978105,47
64,loans_credibility_limit,124.44097991287708,78,0.9465721717978105,47
65,loans_product_count,67.8224151879549,47,0.9465721717978105,47
66,loans_max_limit,202.43650128692389,127,0.9465721717978105,47
67,loans_avg_limit,209.65996995568275,135,0.9465721717978105,47
68,consfin_credit_limit,162.94108749181032,120,0.9465721717978105,47
69,consfin_credibility,81.52308535575867,56,0.9465721717978105,47
70,consfin_product_count,74.12500315904617,51,0.9465721717978105,47
71,consfin_max_limit,109.4054771065712,67,0.9465721717978105,47
72,consfin_avg_limit,187.09185209870338,116,0.9465721717978105,47
73,latest_query_day,125.71244911849499,83,0.9465721717978105,47
74,loans_latest_day,140.88343399763107,93,0.9465721717978105,47
75,tradeno_day,45.20202499628067,28,0.9465721717978105,47
76,is_Li_Ming,0.0,0,0.9465721717978105,47
77,cust_id_bin,30.778937555849552,20,0.9465721717978105,47
78,student_feat_1,20.36119294166565,12,0.9465721717978105,47
79,student_feat_2,0.0,0,0.9465721717978105,47
80,latest_query_time_year,0.0,0,0.9465721717978105,47
81,latest_query_time_month,10.722892999649048,8,0.9465721717978105,47
82,latest_query_time_dayofyear,107.40472173690796,72,0.9465721717978105,47
83,latest_query_time_dayofweek,82.08947095274925,57,0.9465721717978105,47
84,latest_query_time_weekday,2.609840989112854,2,0.9465721717978105,47
85,loans_latest_time_year,0.0,0,0.9465721717978105,47
86,loans_latest_time_month,22.42376619577408,16,0.9465721717978105,47
87,loans_latest_time_dayofyear,163.01298329234123,109,0.9465721717978105,47
88,loans_latest_time_dayofweek,74.39127707481384,48,0.9465721717978105,47
89,loans_latest_time_weekday,2.0030100345611572,1,0.9465721717978105,47
90,interval_query_loan_time,137.78933672606945,94,0.9465721717978105,47
91,trans_fail_top_count_enum_sum,202.98590689897537,123,0.9465721717978105,47
92,trans_fail_top_count_enum_sum_bins,0.0,0,0.9465721717978105,47
93,trans_fail_top_count_enum_sum_bincount,7.3442299365997314,4,0.9465721717978105,47
94,trans_fail_top_count_enum_sum_bins_rank,8.356456935405731,6,0.9465721717978105,47
95,history_fail_fee_bins,0.0,0,0.9465721717978105,47
96,history_fail_fee_bincount,6.505900114774704,6,0.9465721717978105,47
97,history_fail_fee_bins_rank,3.892527997493744,4,0.9465721717978105,47
98,loans_overdue_count_bins,16.17404019832611,10,0.9465721717978105,47
99,loans_overdue_count_bincount,14.396210074424744,9,0.9465721717978105,47
100,loans_overdue_count_bins_rank,5.571760058403015,3,0.9465721717978105,47
101,latest_one_month_fail_bins,2.2785799503326416,1,0.9465721717978105,47
102,latest_one_month_fail_bincount,6.276837140321732,4,0.9465721717978105,47
103,latest_one_month_fail_bins_rank,12.073709845542908,8,0.9465721717978105,47
104,loans_score_bins,0.0,0,0.9465721717978105,47
105,loans_score_bincount,13.209108054637909,10,0.9465721717978105,47
106,loans_score_bins_rank,6.914308816194534,5,0.9465721717978105,47
107,corr_rank_sum,111.04959404468536,61,0.9465721717978105,47
108,corr_rank_max,29.255964666604996,20,0.9465721717978105,47
109,bin_counts_sum,146.12415713071823,89,0.9465721717978105,47
